pathway	description	VDMT001-1	VDMT001-14	VDMT001-15	VDMT001-7	VDMT002-1	VDMT002-14	VDMT002-15	VDMT002-7	VDMT003-1	VDMT003-14	VDMT003-15	VDMT003-7	VDMT004-1	VDMT004-14	VDMT004-15	VDMT004-7	VDMT005-1	VDMT005-14	VDMT005-15	VDMT005-7	VDMT006-1	VDMT006-14	VDMT006-15	VDMT006-7	VDMT007-1	VDMT007-14	VDMT007-15	VDMT007-7	VDMT008-1	VDMT008-14	VDMT008-15	VDMT008-7	VDMT009-1	VDMT009-14	VDMT009-15	VDMT009-7	VDMT010-1	VDMT010-14	VDMT010-15	VDMT010-7	VDMT011-1	VDMT011-14	VDMT011-15	VDMT011-7	VDMT012-1	VDMT012-14	VDMT012-15	VDMT012-7	VDMT013-1	VDMT013-14	VDMT013-15	VDMT013-7	VDMT014-1	VDMT014-14	VDMT014-15	VDMT014-7	VDMT015-1	VDMT015-14	VDMT015-15	VDMT015-7	VDMT016-1	VDMT016-14	VDMT016-15	VDMT016-7	VDMT017-1	VDMT017-14	VDMT017-15	VDMT017-7	VDMT018-1	VDMT018-14	VDMT018-15	VDMT018-7	VDMT019-1	VDMT019-14	VDMT019-15	VDMT019-7	VDMT020-1	VDMT020-14	VDMT020-15	VDMT020-7	VDMT022-1	VDMT022-14	VDMT022-15	VDMT022-7	VDMT023-1	VDMT023-14	VDMT023-15	VDMT023-7	VDMT024-1	VDMT024-14	VDMT024-15	VDMT024-7	VDMT025-1	VDMT025-14	VDMT025-15	VDMT025-7	VDMT026-1	VDMT026-14	VDMT026-15	VDMT026-7	VDMT027-1	VDMT027-14	VDMT027-15	VDMT027-7	VDMT028-1	VDMT028-14	VDMT028-15	VDMT028-7	VDMT029-1	VDMT029-14	VDMT029-15	VDMT029-7	VDMT030-1	VDMT030-14	VDMT030-15	VDMT030-7	VDMT031-1	VDMT031-14	VDMT031-15	VDMT031-7	VDMT032-1	VDMT032-14	VDMT032-15	VDMT032-7	VDMT033-1	VDMT033-14	VDMT033-15	VDMT033-7	VDMT034-1	VDMT034-14	VDMT034-15	VDMT034-7	VDMT035-1	VDMT035-14	VDMT035-15	VDMT035-7	VDMT036-1	VDMT036-14	VDMT036-15	VDMT036-7	VDMT037-1	VDMT037-14	VDMT037-15	VDMT037-7	VDMT038-1	VDMT038-14	VDMT038-15	VDMT038-7	VDMT040-1	VDMT040-14	VDMT040-15	VDMT040-7	VDMT041-1	VDMT041-14	VDMT041-15	VDMT041-7	VDMT042-1	VDMT042-14	VDMT042-15	VDMT042-7	VDMT043-1	VDMT043-14	VDMT043-15	VDMT043-7	VDMT044-1	VDMT044-14	VDMT044-15	VDMT044-7
1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	38047.7198	23657.5446	30189.9295	33359.2674	42303.5166	18079.2829	28316.3697	18515.1031	19736.4595	9214.0154	7174.0779	8705.755	44683.5071	28036.703999999998	26858.8918	28875.8077	33106.3053	24359.9099	26658.968999999997	39037.2079	35899.0435	29970.7249	30656.3989	36626.172	39637.4287	33508.1253	35182.956	46100.643	36683.1089	28444.9971	36487.7735	29838.7958	36614.2365	35955.5132	42031.4858	39620.3483	22180.9663	24144.6085	24101.6082	26598.7235	22989.1221	19089.9398	21409.1511	24267.9207	28679.286	23726.5397	26168.8027	23103.3379	28755.9352	21153.869	22453.699	27824.5623	29102.6099	20563.0311	23359.9375	28543.4296	24694.1162	27238.1446	27648.9785	24691.2936	8881.9683	18976.3464	26329.8701	30124.7958	29738.9895	25153.2206	31019.2663	37898.2295	27626.9409	26918.1362	35457.3484	26893.3823	37452.2667	30175.3297	33710.0446	35795.7872	34026.1201	22756.892999999996	20091.3047	35347.6636	25079.0482	24014.6321	33112.6274	28057.1954	34305.6246	30837.19	37769.4261	50650.0406	44703.8437	6372.475	36040.37	55127.003	32736.8638	29818.2761	47334.6076	27433.2128	39603.2322	30806.2949	30003.4044	53815.8588	38796.6078	27772.389	34217.7911	41640.1808	41597.9269	33147.8336	49360.2933	12491.3917	29978.429	18015.8861	28203.6275	36909.7547	25476.5056	21680.0946	31228.5201	34259.6556	17405.0598	27783.0923	37393.0891	21102.2759	25824.4478	25538.7627	33488.1439	37403.3506	36856.3159	24717.4713	48401.7042	43457.0825	25151.5206	30899.0577	39953.8556	33680.0062	23985.3122	26568.3509	20985.1279	23360.7933	28468.615	22890.4572	28657.0782	33744.4501	18555.0721	27748.0605	40143.5233	28917.2186	28295.6912	27929.2705	24953.013	34083.0009	32656.7726	24874.5746	34872.4505	32066.4537	25520.6335	33125.3892	54254.665	31100.4253	35130.9148	30370.5828	30450.7011	48207.4155	35423.9318	29715.0356	39482.1429	33629.9648	27959.9664	38167.0891	43237.5738	41746.7794
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	0.0	0.0	4.261	0.0	69.2973	0.0	0.0	0.0	0.0	0.0	0.0	946.4127	0.0	0.0	7.5919	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.4184	0.0	0.0	37.1753	0.0	117.8047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.3136	0.0	0.0	0.0	20.7415	0.0	0.0	0.0	0.0	0.0	25.7797	366.7882	150.2144	0.0	0.0	0.0	12.7094	0.0	0.0	0.0	0.0	1073.8173	82.0565	59.3639	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.8623	0.0	0.0	0.0	0.0	0.0	0.0	77.5852	0.0	78.4613	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1116.6173	0.0	112.5586	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	275.5075	101.2356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.4661	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	295.8751	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AEROBACTINSYN-PWY	aerobactin biosynthesis	0.0	65.6329	35.0	118.0	62.4948	44.9577	59.0	0.0	46.0	42.7723	32.4528	289.2997	76.0	11.0	46.1359	0.0	0.0	26.4463	31.0	0.0	19.0	37.2211	109.1163	73.9145	121.927	0.0	81.49	69.9065	228.4659	183.3622	33.0	175.3748	0.0	92.2538	74.8175	21.0	26.0	33.5596	26.0	0.0	59.5892	26.6885	0.0	39.0	0.0	0.0	61.0	36.0	11.0	38.7209	0.0	0.0	0.0	0.0	67.7459	16.8421	0.0	21.0	36.0	0.0	211.41	0.0	63.1172	42.9913	79.0	0.0	149.0	38.0	22.7594	0.0	57.5856	45.283	0.0	0.0	0.0	0.0	39.0	64.46600000000001	92.2085	17.0	49.6725	0.0	80.1954	84.0	1236.0	227.6849	0.0	20.0	0.0	370.5134	14.0	0.0	0.0	0.0	0.0	66.7988	188.1512	217.2869	150.1613	159.5175	61.0	61.8431	118.6087	49.156000000000006	53.7284	91.6262	83.2021	61.0	4.0	155.9735	0.0	0.0	0.0	68.2697	96.0	0.0	145.0	81.0	120.34700000000001	96.6875	110.0	12.0	315.7447	41.0	41.1429	865.4922	1104.0	0.0	0.0	19.0	0.0	0.0	76.2363	0.0	64.0	121.0	0.0	0.0	0.0	30.3614	87.0	322.0	0.0	31.7368	21.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	40.0968	0.0	294.5406	19.0	35.0	0.0	0.0	757.0	338.0	0.0	0.0	0.0	0.0
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	784.8861	1019.5221	514.7128	2114.4139	1095.3351	409.9717	586.0513	285.0397	327.8535	352.4068	271.4313	3886.5723	1086.1925	270.5158	536.8089	346.7233	505.2975	304.7043	285.3103	266.5276	176.4515	511.4143	987.4466	1086.6711	1394.6709	0.0	539.6428	835.7742	2153.5696	1636.1087	244.5848	1492.8848	0.0	784.8315	966.8206	320.5761	258.4983	359.0129	135.8349	278.743	543.0123	330.3847	0.0	531.7466	169.9493	0.0	585.1908	314.7165	123.6709	440.11	1384.8975	719.2953	239.0976	59.3621	643.9968	327.77099999999996	261.26599999999996	317.3561	398.6974	0.0	3909.1012	514.2223	815.3513	424.5194	503.0398	0.0	1414.5961	423.1052	258.7219	0.0	395.4508	660.198	100.5806	0.0	165.3511	0.0	232.7152	542.8356	1262.7731	287.2238	744.7084	0.0	694.4508	734.4989	6553.9299	2101.0075	0.0	293.085	0.0	3928.6667	213.9965	1337.9198	0.0	0.0	524.8538	542.6615	1838.8074	1638.4822	1305.768	1910.0427	614.0302	570.383	1213.7429	444.5136	560.0177	783.3788	753.9982	431.8391	53.3352	1124.6438	0.0	0.0	125.259	550.7676	778.0641	0.0	921.1009	1455.1178	1400.5316	787.0714	954.268	111.7641	2451.5531	246.5646	245.8042	4684.2359	5180.2215	312.0288	0.0	287.6614	0.0	0.0	786.3089	0.0	335.9888	913.0798	0.0	115.4457	369.0531	227.1942	677.2945	2072.9465	0.0	339.9145	224.0713	286.8745	159.3582	0.0	0.0	213.1516	293.986	0.0	0.0	460.773	0.0	798.0101	170.8889	2710.6753	274.0768	248.8026	0.0	0.0	6471.022	2879.587	0.0	0.0	0.0	0.0
ANAEROFRUCAT-PWY	homolactic fermentation	41854.7889	23355.8598	19092.1245	41433.1282	26726.2685	13190.9765	16148.2293	15038.448	18803.0961	7009.8898	5353.9332	10061.577	39384.7516	42572.2608	17201.1304	25854.5211	25585.2136	8916.5987	22469.2308	29501.5611	26386.5324	27254.6327	19271.2663	31166.3124	32787.9819	31806.7537	23018.578999999998	40416.4736	29404.1252	19329.1948	10049.8118	19302.2883	28715.3596	34087.6594	38785.756	39220.885	16892.3064	21822.2997	21033.4411	18069.7191	17387.8889	9407.1038	24894.4745	19679.976000000002	24929.626	25458.2548	25126.2257	27655.0851	23804.9541	18393.602	21120.8822	24447.2486	35918.1434	22901.279	20289.0321	23731.0526	14701.0729	28541.5473	19452.1219	21401.6976	9932.5799	14462.306999999999	17779.5781	26527.0329	21362.8795	29739.5912	28061.4116	27361.97	14900.6647	27816.7654	26145.1185	18401.3338	14759.9046	23999.2509	23736.7621	26299.6497	30054.5561	19412.6067	17946.6616	27967.961	17719.661	25137.5554	30811.9566	30348.0222	35145.5332	31445.6811	40120.2992	45023.2175	26665.6639	8135.3264	17880.7525	39864.4346	16144.8214	26048.4257	43390.7018	22227.747000000003	48502.9884	23582.1449	25375.3046	60881.4281	39116.4575	24023.1298	27928.019	46622.6334	23566.7401	19118.653000000002	24042.9088	8171.2315	26176.8763	16513.4536	24083.5233	32296.6225	16523.375	12771.657	18938.5838	20103.6421	6954.1494	17403.4943	39276.1593	13673.0616	22412.7603	18246.171000000002	34386.2021	32063.9449	42087.1806	25442.2969	38473.5859	11601.9033	27967.5187	35305.3667	47823.1429	38272.7883	20274.1103	30629.0884	23583.7199	27308.6374	6976.4952	8704.7206	16586.1581	20658.5085	14277.9036	28137.9975	37900.0552	31439.8627	22452.7924	30407.2308	17794.2682	33361.3926	27107.5837	19026.2105	27301.767999999996	26622.707000000002	22327.6399	30043.2443	40931.9052	27187.9144	36856.9142	27357.5778	33293.8405	24800.1642	43324.3523	33983.1281	49666.3782	36812.4201	15678.7556	22711.0583	27195.3904	29550.9417
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	54659.0345	32097.1834	41196.9247	48727.8667	56296.237	23732.9893	37298.8387	23876.1902	26429.2741	12411.053999999998	9648.8723	9928.9962	60661.84099999999	47502.3379	37479.9987	39471.8031	45133.420999999995	33610.3959	35403.1198	51618.871	48490.6776	42048.3896	41783.2304	50982.2115	53522.719000000005	45489.2356	48893.846	62495.2022	49289.4838	38565.7177	51265.4662	40601.7748	50416.8552	50413.2865	58594.8022	54972.9982	30016.6509	32919.9497	34728.4815	36639.2811	32293.6684	25276.1468	29075.3584	32504.8792	37829.302	32236.185	35966.8337	32143.1859	38217.8375	28414.3551	28940.1486	36297.1235	39275.5134	28007.6132	30636.0554	38250.7821	34656.0376	38529.9366	40470.4811	32796.9582	9706.4447	25703.2504	36530.5696	41413.9969	39066.016	35307.4506	41442.6837	51000.8338	38320.2436	38912.9825	53253.6486	37709.3674	51136.2779	41095.933	45853.600999999995	48849.6475	45877.7123	30341.3577	26764.8649	46351.5487	32226.8998	34330.9521	44802.9527	38813.79	43998.6683	39516.6364	52717.5315	70868.9078	58751.1394	7885.6292	48001.2723	73249.6523	43244.5439	41462.6639	63699.6139	36801.6805	59113.3083	41518.1973	40544.7817	76774.4731	53594.4674	38063.8752	46926.0669	59736.1653	56934.6418	44653.2393	70108.2724	16754.583	41977.172	23721.9534	38459.5472	50470.2962	36219.2567	30288.7231	42352.3162	46274.873	22531.3482	38438.0352	50805.1525	28755.7011	32660.6303	32527.6553	45114.0248	47832.5733	50431.5092	31598.0343	65658.6832	60309.132000000005	35378.175	41946.8874	54271.7067	45426.5134	31455.06	34307.4692	27720.0504	31709.2846	38998.8551	31325.6193	37789.4074	44658.485	25560.2262	37247.7233	54414.073	38986.846	38933.7219	36794.5831	34035.7517	46179.8308	44852.0003	33402.5666	49727.5399	44510.4352	32310.685	43265.0289	73430.1239	41051.7209	46543.4048	40629.1107	42053.6256	69710.1148	49137.7663	41143.9323	55260.8913	45981.3959	37630.0114	53680.0163	59391.287000000004	56550.3576
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	9367.0838	4732.9015	3849.3868	8409.8518	7462.751	3259.978	4271.3086	3099.1443	2816.2504	1856.0833	1438.4268	3148.6292	17682.2506	5701.7011	2927.3007	9306.9455	7739.101	2019.6002	4587.3173	2896.8365	8658.7333	6057.5395	6811.825	6988.7055	14444.9172	6126.474	4739.8896	14629.5745	9347.6611	5977.3609	2361.7396	5633.4064	7463.7025	6115.5098	8030.5956	5705.2182	2502.9657	5113.1522	2960.8888	7963.5144	5367.2814	2509.196	1323.6131	5111.8548	7098.1528	4012.6853	6032.3643	4884.3539	4563.6053	5254.9846	6945.281999999999	7862.041	1003.0525	1605.0508	4069.8205	3893.9705	3536.5332	3194.0953	2892.5875	4176.4378	3319.5534	3923.6627	3690.4983	8933.9414	4111.4921	8425.4134	6599.4254	3958.1525	4167.4551	2156.709	3657.0879999999997	5606.6452	1660.7377	3424.1386	2201.0069	9177.5536	2917.3332	4092.1083	4272.6087	2680.6554	5285.2375	1749.2431	7506.4891	4542.5829	13723.8878	6662.0323	7952.6207	12423.8213	6983.5836	3723.9827	4685.0255	6139.0368	3432.7848	3180.2139	11378.854	4009.5957	12526.2379	6506.4122	6609.3965	13737.4089	11272.117	6030.0528	6571.5411	10850.4926	4240.7109	5071.0883	5643.1247	2329.9566	1389.5281	5145.9729	4402.89	4328.2266	2942.1823	2851.4342	4802.5889	5652.2489	4006.3907	6461.1049	6485.8694	4179.795999999999	3224.0313	5120.8973	6990.9467	6642.9735	1910.358	9486.1139	11640.4266	726.9203	5168.3807	3497.1198	4462.4103	6468.9174	4071.1406	5485.0451	6291.4565	7183.7478	167.4217	247.9944	1134.9192	810.4617	5286.5143	8703.4471	8079.9729	6038.0663	4095.1435	8219.0504	4260.5045	7584.7228	4742.543	4396.5903	4673.9664	2197.5779	5399.1124	5160.3656	19506.07	6842.7783	6741.6964	8342.7152	6169.7832	9716.8408	12072.655	5818.9422	12088.5979	10456.4632	6349.8483	9357.0439	9763.0154	13210.2213
ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	60.9315	147.2827	86.8543	238.7859	167.1753	115.7655	98.6053	105.3301	0.0	112.7244	88.3622	1571.1385	130.53799999999998	0.0	135.4042	52.2875	110.5697	25.0975	0.0	28.7593	0.0	118.0029	302.1818	258.7232	287.2625	0.0	63.8447	67.7214	491.3496	613.0527	0.0	551.4026	0.0	119.2465	244.7923	0.0	50.4863	75.1888	0.0	65.4909	111.3705	59.2205	0.0	77.4708	29.5805	0.0	132.3693	0.0	0.0	64.0242	511.4327	246.9354	40.2974	0.0	123.8564	34.9377	65.9147	0.0	89.7871	0.0	1700.3846	97.5522	271.1095	89.0324	0.0	0.0	258.5555	0.0	51.2063	0.0	105.8651	200.3787	27.2611	0.0	43.629	0.0	0.0	72.5195	391.8849	0.0	154.0802	0.0	175.8721	150.2715	2284.0347	532.8867	0.0	0.0	0.0	1826.7495	0.0	301.4003	0.0	0.0	59.9213	77.6129	509.1297	515.5908	431.6547	469.5765	118.6427	82.7931	307.4	38.3335	46.8874	205.3525	196.0025	105.2476	0.0	415.5575	0.0	0.0	34.3588	171.9504	191.2005	0.0	228.042	572.9298	406.6954	237.2	225.6324	0.0	590.9758	0.0	20.4515	1713.3605	2182.2958	56.2448	0.0	0.0	0.0	0.0	222.7636	0.0	0.0	257.2076	0.0	0.0	73.4381	0.0	160.4079	640.2487	0.0	66.7677	0.0	69.947	19.2615	0.0	0.0	28.8407	0.0	0.0	0.0	43.4015	0.0	0.0	33.7161	1045.9828	0.0	0.0	0.0	0.0	1735.6943	752.05	0.0	0.0	0.0	0.0
ARGORNPROST-PWY	arginine, ornithine and proline interconversion	8609.7477	3559.2925	1956.1706	8010.6519	2517.2913	1343.0421	1353.2102	787.6231	895.9548	720.9055	545.4538	3673.8032	3937.3318	7657.2744	2427.7873	3291.1223	2077.2786	2367.4665	1360.6694	1401.3118	3296.3526	1224.1394	2780.5972	2336.0339	3633.9796	3548.6677	1332.9529	5231.9802	4723.057	2915.1798	4048.6819	2852.3218	1730.6253	2355.1509	2552.7955	3108.1386	1335.615	2531.9289	1379.6881	2523.44	1970.4172	749.9739999999999	1059.5206	2437.2913	2172.9963	717.7863	1099.2665	1555.6055	1501.896	3208.2815	2089.6284	2128.3001	1097.6019	1128.3016	1006.5329	3134.4808	1305.3818	2740.347	2251.4759	2144.8249	3441.7637	977.8055	1201.3149	1233.9473	1379.2357	3578.9939	2026.2486	4604.1082	1635.9422	1762.4759	3196.0975	2212.4558	886.8761	930.2258	1163.1692	3097.2335	1202.8661	1749.4902	1435.6454	1052.7502	829.0752	1536.6024	1811.1119	1214.8781	3572.8088	2355.9635	1729.0862	938.568	972.6915	2984.4548	1795.3422	3167.4016	1290.9402	159.3071	2578.5672	1089.2983	11625.5689	2631.2378	2217.8199	10084.6924	6720.2103	3664.5396	4246.2339	5246.3563	2920.4946	2320.5639	2768.4529	774.9033	751.2645	1503.7516	927.9548	853.6934	1640.735	1400.8432	2957.8016	3695.7267	700.612	2113.8377	2395.9959	1636.6856	1527.1805	901.1693	4232.277	1431.9188	803.7944	3867.9376	3226.8109999999997	2187.7018	1627.5655	1143.5275	1205.8941	1513.2175	1547.2861	1455.3314	3046.4271	3750.002	1645.1606	877.447	1796.5205	1338.1226	673.9362	1644.693	2145.2836	1112.3418	2279.3754	1659.5879	1148.7533	4447.4979	1388.3381	1294.8587	2263.7796	1664.5477	1883.0766	2809.0201	5568.2816	5093.6883	2802.3059999999996	3141.9648	8020.9322	3323.5379	2850.2508	3850.7628	4033.1544	3130.1827	1846.806	2439.2072	2251.6827	3567.1234
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	35212.8393	22188.9256	28685.2446	29615.0224	39617.6674	17071.6727	27098.6811	17475.1179	18102.6626	9004.3522	6952.0652	7108.0714	48451.7286	30571.7477	25757.7766	31774.7736	31485.7947	24810.252	24607.4789	35687.3453	35461.4775	29617.6097	30984.807999999997	36655.888	41951.2722	32547.6992	33990.4624	48538.6726	34188.4836	28388.4625	38553.1092	31774.2899	37579.3489	34721.1544	41686.4943	39893.8479	21762.6624	23680.494	24200.665	27144.0111	23167.0107	18014.4317	18655.2797	22547.8919	25899.9028	21346.6626	25561.8874	22447.0743	28019.8515	19157.0957	21413.1258	26907.6203	22754.5043	15775.118999999999	21074.6995	27392.9106	27407.4999	28389.6415	30849.808999999997	22992.2554	7273.0413	18337.8907	24659.0441	27647.8514	27758.7652	20531.5571	25842.702999999998	36838.9264	30273.0922	29585.9963	41925.0623	29406.5471	36127.8178	29150.713	32590.2904	35796.3067	32319.432999999997	20079.8489	17579.4579	31604.3096	23193.3855	26078.7198	33326.8117	27462.5878	30632.9475	23970.2645	35248.638999999996	47959.1066	44138.2882	5977.5942	34245.3306	51170.8463	30875.5667	29307.3635	46188.3844	25869.8885	33472.1044	30014.7272	28763.1433	44444.2211	37874.1855	27609.5014	33201.3497	40395.9515	40797.9545	32902.2893	49902.2965	12409.4089	28644.8195	17541.3458	26689.1027	34530.6581	24641.6352	21934.3928	30986.8539	34987.1388	15618.2442	25055.7343	37086.0685	20257.7278	23152.4825	23966.4673	29838.9014	33990.6828	37190.4868	22164.2655	49328.8464	43131.0882	25122.7033	30669.2475	41111.1046	32690.7238	22417.9614	27744.939	20514.8298	21059.2049	28351.9804	24418.8355	28679.9442	32952.2317	17966.4669	26691.0483	40488.8706	27847.4104	28714.4194	28603.889	24864.8877	32897.2426	33146.6365	24819.3248	36779.7819	32301.4379	24366.7622	31452.5393	53394.6802	29535.2491	34224.6223	29381.3786	30260.1733	55411.2646	29260.9622	27081.3142	25987.1893	26444.6409	27266.5953	41668.367	44953.6277	41930.5077
